team: , id: -Ace, name: Brandon Winn, wiki: counterstrike
, team: , id: Bernard, name: Bernardus Stornebrink, wiki: counterstrike
, team: , id: BiDa, name: Bernardo Soares Claussen Moura, wiki: counterstrike
, team: , id: Bibby, name: Teric Ingram, wiki: counterstrike
, team: , id: Blandfers, name: Isak Alexius, wiki: counterstrike
, team: , id: Blasdfa, name: Saska Kivistu00f6, wiki: counterstrike
, team: , id: Blastinho, name: Miquel Llombart, wiki: counterstrike
, team: , id: Blaze, name: Quint Spierenburg, wiki: counterstrike
, team: , id: Bleh, name: Sudhen Wahengbam, wiki: counterstrike
, team: , id: Blizzard, name: Christian Chmiel, wiki: counterstrike
, team: , id: BlooD, name: Rafael Frid, wiki: counterstrike
, team: , id: BloodyElf, name: Kristina Galichenko, wiki: counterstrike
, team: , id: Bloominator, name: Reece Bloom, wiki: counterstrike
, team: , id: Blote, name: David Ekdahl, wiki: counterstrike
, team: , id: Blue, name: Carlos Arestegui, wiki: counterstrike
, team: , id: Blytz, name: Raul Gligor, wiki: counterstrike
, team: , id: Boaster, name: Jake Howlett, wiki: counterstrike
, team: , id: Bobosaur, name: Leslie Soen, wiki: counterstrike
, team: , id: Bomez, name: Bou0161tjan Meu0161iu010d, wiki: counterstrike
, team: , id: Boomser, name: Scott Bednarski, wiki: counterstrike
, team: , id: Br0die, name: Jack Emmott, wiki: counterstrike
, team: , id: BuJ, name: Fu00e1bio Ferreira, wiki: counterstrike
, team: , id: Bugge, name: Alexander Vahlund, wiki: counterstrike
, team: , id: Bullen, name: Bju00f6rn Wall, wiki: counterstrike
, team: , id: Bullseye, name: Sean Morgan, wiki: counterstrike
, team: , id: BurntSanctuary, name: Joshua Keller, wiki: counterstrike
, team: , id: Butters, name: Martynas Juodagalvis, wiki: counterstrike
, team: , id: Bu00e5u00e5ten, name: Linus Bu00e5u00e5t Andersson, wiki: counterstrike
, team: , id: CAth, name: Catherine Leroux, wiki: counterstrike
, team: , id: CEYN, name: Astor Karlsson, wiki: counterstrike
, team: , id: CHEF-KOCH, name: David Nagel, wiki: counterstrike
, team: , id: CHRiSOAOW, name: Chris Forman, wiki: counterstrike
, team: , id: CINDER, name: Kristian Bogdanovs, wiki: counterstrike
, team: , id: CISU, name: Ville Leppu00e4lu00e4, wiki: counterstrike
, team: , id: COLDYY1, name: Pavlo Veklenko, wiki: counterstrike
, team: , id: CONNOR93, name: Connor Glover, wiki: counterstrike
, team: , id: COSMEEEN, name: Cosmin-Mihai Butuc, wiki: counterstrike
, team: , id: CREA^, name: Charles Beauvois, wiki: counterstrike
, team: , id: CaNNiE, name: Hubert Ludwig, wiki: counterstrike
, team: , id: CaPPiNg!, name: Kristinn Andri Ju00f3hannesson, wiki: counterstrike
, team: , id: Calippo, name: Jonas Nilsson, wiki: counterstrike
, team: , id: CalquiN, name: Horacio Calquin Castro, wiki: counterstrike
, team: , id: Candy, name: Alyona Kuvayeva, wiki: counterstrike
, team: , id: CarboN, name: Guilherme Bastos, wiki: counterstrike
, team: , id: Carcass, name: Robertas Mikuckis, wiki: counterstrike
, team: , id: Carlsen, name: Emil Carlsen, wiki: counterstrike
, team: , id: Castle, name: Kenny Lock Seng Loong, wiki: counterstrike
, team: , id: Cazzidy, name: Anette Skarderud, wiki: counterstrike
, team: , id: Cedii, name: Cedrik Ku00f6hler, wiki: counterstrike
, team: , id: Celebrations, name: Kasper Damgaard, wiki: counterstrike
, team: , id: Celrate, name: Casper Andersen, wiki: counterstrike
, team: , id: Ceriizz, name: Laura Le Bars, wiki: counterstrike
, team: , id: Char, name: Tyler Wallace, wiki: counterstrike
, team: , id: Cheater_7, name: FeiYu Lu, wiki: counterstrike
, team: , id: Chet, name: Chet Singh, wiki: counterstrike
, team: , id: Chrille, name: Christian Lindberg, wiki: counterstrike
, team: , id: Chris Puckett, name: Chris Puckett, wiki: counterstrike
, team: , id: Chub, name: Edward Lee, wiki: counterstrike
, team: , id: CigaretteS, name: Patiphan Posri, wiki: counterstrike
, team: , id: Cla, name: Clara Rossi, wiki: counterstrike
, team: , id: Claeys, name: Yordi Claeys, wiki: counterstrike
, team: , id: CleanUpGuy, name: Ola Stenberg, wiki: counterstrike
, team: , id: CodyCasts, name: Kyle Mullings, wiki: counterstrike
, team: , id: Console, name: Mads Skovby, wiki: counterstrike
, team: , id: CooL, name: Bashar Abdullah, wiki: counterstrike
, team: , id: Cooper, name: Austin Abadir, wiki: counterstrike
, team: , id: Corassa, name: Eduardo Corassa, wiki: counterstrike
, team: , id: Crash, name: Rodrigo Neves Rodrigues, wiki: counterstrike
, team: , id: CritiCal, name: Halldu00f3r Mu00e1r Kristmundsson, wiki: counterstrike
, team: , id: Crossy, name: Mark Cross, wiki: counterstrike
, team: , id: Crw, name: Niklas Pu00e5lsson, wiki: counterstrike
, team: , id: CrystalMay, name: Dmitriy Korchevinin, wiki: counterstrike
, team: , id: Cukijas, name: Edgardo Gabriel Gonzalez, wiki: counterstrike
, team: , id: Cxxxviii, name: Patricio Cabrio, wiki: counterstrike
, team: , id: CyberFocus, name: Roman Dierhau010d, wiki: counterstrike
, team: , id: D0cC, name: Shuaib Ahmad, wiki: counterstrike
, team: , id: DAVEY, name: David Stafford, wiki: counterstrike
, team: , id: DEATHMAKER, name: Debanjan Das, wiki: counterstrike
, team: , id: DEFINE, name: Tim Mu00f6ller, wiki: counterstrike
, team: , id: DEJV, name: Dawid Herczyu0144ski, wiki: counterstrike
, team: , id: DESPE, name: , wiki: counterstrike
, team: , id: DESTROJ, name: Maciej Deorocki, wiki: counterstrike
, team: , id: DEV7L, name: Patrik Stuchlu00edk, wiki: counterstrike
, team: , id: DEVIL, name: Timothu00e9e Du00e9molon, wiki: counterstrike
, team: , id: DH, name: Dylan Hamrini, wiki: counterstrike
, team: , id: DJOXiC, name: u0110oru0111e Niciforoviu0107, wiki: counterstrike
, team: , id: DORFEN, name: Jonathan Hindorf, wiki: counterstrike
, team: , id: DUM0RE, name: Mitch Green, wiki: counterstrike
, team: , id: DaY, name: Thomas Rudstru00f8m, wiki: counterstrike
, team: , id: DaZeD, name: Sam Marine, wiki: counterstrike
, team: , id: Dallas, name: Dallas Micks, wiki: counterstrike
, team: , id: Damage, name: Jesper Su00f8rensen, wiki: counterstrike
, team: , id: Damien, name: Magnus Hovden, wiki: counterstrike
, team: , id: Danceyz, name: Zaki Dance, wiki: counterstrike
, team: , id: DarK, name: Ruben Bielenberg, wiki: counterstrike
, team: , id: DarfMike, name: Mike Winnick, wiki: counterstrike
, team: , id: Darth, name: Pieter Bas Kwak, wiki: counterstrike
, team: , id: Dash, name: Daniel Westergaard, wiki: counterstrike
, team: , id: Daveys, name: Santiago Galvis, wiki: counterstrike
, team: , id: DeM0, name: Matheus Yokomizo, wiki: counterstrike
, team: , id: DeadFox, name: Bence Bu00f6ru00f6cz, wiki: counterstrike
, team: , id: Dean, name: Dean Brown, wiki: counterstrike
, team: , id: Delpan, name: Marcus Larsson, wiki: counterstrike
, team: , id: DemQQ, name: Serhii Demchenko, wiki: counterstrike
, team: , id: Deman, name: Leigh Smith, wiki: counterstrike
, team: , id: Dementor, name: Arbnor Pacolli, wiki: counterstrike
, team: , id: DeniMM, name: Denim Ameti, wiki: counterstrike
, team: , id: Deq, name: Aleksey Pinayevskiy, wiki: counterstrike
, team: , id: Derkeps, name: Nikita Syrmytev, wiki: counterstrike
, team: , id: Despair, name: HaoZhi Xie, wiki: counterstrike
, team: , id: DetlevSNitzEL, name: Kasper Kristensen, wiki: counterstrike
, team: , id: Dev1, name: Ivan Lazarov, wiki: counterstrike
, team: , id: Devilwalk, name: Jonatan Lundberg, wiki: counterstrike
, team: , id: Dewid, name: David Thalien, wiki: counterstrike
, team: , id: DeyF, name: David Arroyo, wiki: counterstrike
, team: , id: Dezibel, name: Raymond Odisho, wiki: counterstrike
, team: , id: DiAMon, name: Damian u017barski, wiki: counterstrike
